username,feedback,score,at,app_version
Jarwi Siregar,"Layanan memuaskan, fitur lengkap.",4,2024-07-26 7:38:36,4.1.0
"Dr. Sarah Hasanah, M.Kom.",Udah nyoba berkali-kali tetep gk bisa.,2,2024-04-14 14:06:19,4.1.0
"Harsanto Susanti, S.IP",Udah nyoba berkali-kali tetep gk bisa.,2,2024-05-20 17:32:47,4.1.0
dr. Rachel Budiman,"Payah, gk bisa dipake sama sekali.",2,2024-09-28 10:43:45,4.1.0
Usyi Wijayanti,"Gak bisa checkout, tolong perbaiki dong!",3,2024-06-04 14:45:08,4.1.0
"drg. Darmana Aryani, S.T.",,5,2024-01-18 3:32:18,4.1.0
Lili Suryono,"Gagal terus, tolong dong diperbaiki!",2,2024-04-14 22:09:00,4.1.0
Dt. Cemani Laksita,"Gagal terus, tolong dong diperbaiki!",1,2024-07-10 6:20:53,4.1.0
Prayitna Suryono,Aplikasinya suka ngelag parah,2,2024-09-20 6:57:49,4.1.0
"Zulfa Hidayanto, M.Ak","Gak bisa checkout, tolong perbaiki dong!",1,2024-02-21 7:00:01,4.1.0
Winda Sirait,"Sering eror, ga recommended.",1,2024-09-16 7:04:42,4.1.0
Ir. Calista Saefullah,"Gagal terus, tolong dong diperbaiki!",1,2024-07-10 6:57:23,4.1.0
"R.M. Kadir Susanti, S.Ked","Cepat dan responsif, saya suka.",5,2024-09-19 10:04:43,4.1.0
Anggabaya Prasetya,"Layanan memuaskan, fitur lengkap.",5,2024-10-09 19:52:12,4.1.0
Oni Mangunsong,"Gak bisa checkout, tolong perbaiki dong!",1,2024-01-27 21:20:16,4.1.0
Violet Wijaya,"Lancar jaya bro, gk ada error.",4,2024-01-15 14:44:25,4.1.0
Alika Salahudin,"Aduh app-nya error mulu, ga bener.",1,2024-09-09 8:00:59,4.1.0
"drg. Makuta Kurniawan, M.Pd","Aduh app-nya error mulu, ga bener.",3,2024-03-04 23:38:45,4.1.0
"R.M. Jasmani Pudjiastuti, S.H.","Sering eror, ga recommended.",1,2024-03-21 12:10:02,4.1.0
dr. Maida Fujiati,"Sering eror, ga recommended.",2,2024-03-24 4:38:05,4.1.0
"dr. Harjaya Sihombing, M.Ak","Sipp, gk ada masalah, mantap.",5,2024-08-10 17:12:50,4.1.0
Aris Uyainah,"Gagal terus, tolong dong diperbaiki!",3,2024-09-28 8:49:39,4.1.0
Gatot Widiastuti,"Mantap, semuanya lancar.",5,2024-05-15 10:24:32,4.1.0
Empluk Pangestu,"Gagal terus, tolong dong diperbaiki!",2,2024-08-09 19:11:34,4.1.0
Martaka Novitasari,"Gagal terus, tolong dong diperbaiki!",3,2024-01-02 5:12:27,4.1.0
"Rafi Handayani, S.T.","Gagal terus, tolong dong diperbaiki!",1,2024-06-11 17:01:07,4.1.0
Hana Simbolon,"Aduh app-nya error mulu, ga bener.",1,2024-02-14 22:28:53,4.1.0
Novi Hutapea,"Pokoknya juara, the best dah.",5,2024-07-31 14:55:11,4.1.0
Ika Saputra,"Mantap, semuanya lancar.",5,2024-10-11 14:49:36,4.1.0
Tari Mandasari,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-07-13 18:16:17,4.1.0
dr. Nadine Yuliarti,"Lemot bgt app ini, fix uninstall.",2,2024-03-10 15:20:54,4.1.0
